timepoint,XBB.1.16,others,XBB.2.3,XBB.1.9,XBB.1.5,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,0.02,,0.98,,Ex26_01_nearQual_simul-1,2023-01-02,1467.57,2090.73,76.89,60.0,simulation-1,simulation
16,,0.02,,0.98,,Ex26_01_nearQual_simul-16,2023-01-17,1501.37,2548.48,76.56,60.0,simulation-16,simulation
31,,0.02,,0.98,,Ex26_01_nearQual_simul-31,2023-02-01,1434.81,2466.17,75.33,60.0,simulation-31,simulation
46,,0.02,,0.98,,Ex26_01_nearQual_simul-46,2023-02-16,1459.91,2129.11,70.5,60.0,simulation-46,simulation
61,,0.02,,0.98,,Ex26_01_nearQual_simul-61,2023-03-03,1379.11,2024.66,69.99,60.0,simulation-61,simulation
77,,0.02,,0.97,0.01,Ex26_01_nearQual_simul-77,2023-03-19,1479.51,2664.78,68.48,60.0,simulation-77,simulation
92,,0.02,,0.82,0.16,Ex26_01_nearQual_simul-92,2023-04-03,1405.63,2252.35,77.23,60.0,simulation-92,simulation
107,,0.02,,0.2,0.78,Ex26_01_nearQual_simul-107,2023-04-18,1492.56,1943.31,75.15,60.0,simulation-107,simulation
122,,0.02,,0.01,0.97,Ex26_01_nearQual_simul-122,2023-05-03,1459.41,2121.7,77.09,60.0,simulation-122,simulation
137,,0.02,,,0.98,Ex26_01_nearQual_simul-137,2023-05-18,1460.8,2189.0,73.07,60.0,simulation-137,simulation
153,,0.02,,,0.98,Ex26_01_nearQual_simul-153,2023-06-03,1413.01,1876.06,78.55,60.0,simulation-153,simulation
168,,0.02,,,0.98,Ex26_01_nearQual_simul-168,2023-06-18,1479.59,2545.94,72.93,60.0,simulation-168,simulation
183,,0.02,0.05,,0.93,Ex26_01_nearQual_simul-183,2023-07-03,1418.24,1947.39,72.57,60.0,simulation-183,simulation
198,,0.02,0.49,,0.49,Ex26_01_nearQual_simul-198,2023-07-18,1442.03,2342.44,70.61,60.0,simulation-198,simulation
213,,0.02,0.93,,0.05,Ex26_01_nearQual_simul-213,2023-08-02,1470.51,2289.31,68.29,60.0,simulation-213,simulation
229,,0.02,0.98,,,Ex26_01_nearQual_simul-229,2023-08-18,1469.05,2373.16,76.41,60.0,simulation-229,simulation
244,,0.02,0.98,,,Ex26_01_nearQual_simul-244,2023-09-02,1418.05,2080.09,73.26,60.0,simulation-244,simulation
259,,0.02,0.98,,,Ex26_01_nearQual_simul-259,2023-09-17,1433.35,2096.27,70.99,60.0,simulation-259,simulation
274,,0.03,0.97,,,Ex26_01_nearQual_simul-274,2023-10-02,1493.51,2775.3,73.86,60.0,simulation-274,simulation
289,0.1,0.02,0.88,,,Ex26_01_nearQual_simul-289,2023-10-17,1422.58,2095.03,77.5,60.0,simulation-289,simulation
305,0.71,0.02,0.27,,,Ex26_01_nearQual_simul-305,2023-11-02,1484.31,2080.53,71.54,60.0,simulation-305,simulation
320,0.96,0.02,0.02,,,Ex26_01_nearQual_simul-320,2023-11-17,1456.62,2038.44,70.28,60.0,simulation-320,simulation
335,0.98,0.02,,,,Ex26_01_nearQual_simul-335,2023-12-02,1502.52,2219.3,75.17,60.0,simulation-335,simulation
350,0.98,0.02,,,,Ex26_01_nearQual_simul-350,2023-12-17,1471.41,2473.1,74.4,60.0,simulation-350,simulation
366,0.98,0.02,,,,Ex26_01_nearQual_simul-366,2024-01-02,1472.67,2040.09,76.78,60.0,simulation-366,simulation
