timepoint,B.1.1.529,others,sample_name,tool_name
1,1.0,0.0,quaid_vaec47270-1,quaid_vaec47270
16,1.0,0.0,quaid_vaec47270-16,quaid_vaec47270
61,0.28,0.72,quaid_vaec47270-61,quaid_vaec47270
92,0.99,0.01,quaid_vaec47270-92,quaid_vaec47270
107,0.98,0.02,quaid_vaec47270-107,quaid_vaec47270
137,0.99,0.01,quaid_vaec47270-137,quaid_vaec47270
153,1.0,0.0,quaid_vaec47270-153,quaid_vaec47270
168,0.95,0.05,quaid_vaec47270-168,quaid_vaec47270
289,0.95,0.05,quaid_vaec47270-289,quaid_vaec47270
305,0.89,0.11,quaid_vaec47270-305,quaid_vaec47270
320,0.97,0.03,quaid_vaec47270-320,quaid_vaec47270
350,0.99,0.01,quaid_vaec47270-350,quaid_vaec47270
