timepoint,BN.1.3.5,BM.2.1,XBB.1.29,XBB.1.4.1,XBB.4,XBB.1.15,BQ.1.1.21,BM.5,BN.1.2.1,BM.1.1.1,BR.3,BA.5.6.4,CB.1,BA.2.9.7,BF.23,P.3,EL.1,FY.3,XBB.2.3.5,FY.4,XBB.2.3.11,XBB.3.4,XBB.2.3.6,FE.1.2,XBB.1.36,XBB.1.37.1,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,FT.1,XBB.1.25,XBB.1.5.59,XBB.1.22,EK.4,EU.1.1,EU.1,XBB.2.3,XBB.1.5.63,XBB.1.5.19,XBB.1.18,XBB.1.35,XBB.1.11,XBB.1.5.1,XBB.2.2,BA.1.1.11,FL.2.1,XBB.1.28,FY.2,FE.1,EG.2,GA.2,XBB.1.34,XBB.1.5.23,GB.1,XBB.1.5.62,XBT,XBB,BA.2.10.3,FU.1,XBB.1.28.1,XBB.1.16.2,FY.1,XBB.1.22.2,B.1.1.325,XBB.1.16,FL.9,XBB.1.5.12,XBB.1.9,B.1.221.4,FL.1.3,XBB.1.9.3,FL.1.1,EK.2,XBB.1.5.69,EG.4,EG.1.1,XBB.8.1,XBB.1.9.1,XBB.1.9.4,XBB.6,AY.106,A.3,B.1.160.21,FL.8,FL.5,FL.10,XBB.1.5.16,FD.3,XBB.1.5.54,XBB.1.5.52,XBB.1.5.66,BZ.1,B.1.160.11,BQ.1.28,XBB.1.16.1,XBB.1.5.9,XBB.1.5.43,XBB.1.5.33,XBB.2.4,XBB.1.5.61,XBB.1.9.2,XBB.1.18.1,XBB.1.5.18,BA.2.48,BA.2.75.6,B.1.1.234,B.1.1.270,BN.3.1,B.1.596.1,BA.1.1.1,XBB.1.5.31,XBB.1.5.20,others,sample_name,tool_name
229,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,0.02,,,0.01,,,,,,0.53,,,0.01,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-229,vlq_vd04ad36
244,,,0.02,,0.01,,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,0.01,0.27,0.02,,0.01,,,,,,0.26,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,0.23,,,,,,,,,0.31,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,,,0.36,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,0.01,,0.06,,,0.01,,,,,,,,,,0.03,,,,,,0.01,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,0.26,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,0.01,0.01,,,,,,,,,0.01,,,,,,,,0.13,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,0.02,,,,,,0.01,,,,,,,,,,,,0.29,,,,,,,,,,0.09,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,0.34,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,0.02,,,,0.02,,,,,,,0.43,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,0.17,0.03,,,0.01,,,0.02,,,0.32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.04,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,0.09,,,0.02,,,,0.04,0.01,,,,,,,0.01,0.01,,,,,,,,,0.01,,,,,,,0.01,0.03,,,,,,,,,,,,0.29,vlq_vd04ad36-77,vlq_vd04ad36
92,,,0.01,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.01,,,,,,,,0.01,,,,,,,0.18,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-92,vlq_vd04ad36
