timepoint,B.1.1.7,B.1.351,others,P.1,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,,0.02,,,simul-1,simulation,Ex09_03_WideQual_simul-1,2023-01-02,1501.7763769521453,1148.6721101349979,98.10386917700565,59.9999
16,0.98,,0.02,,,simul-16,simulation,Ex09_03_WideQual_simul-16,2023-01-17,1503.9663578905127,1129.6299345875686,99.51509881951644,59.9999
31,0.9776,0.0024,0.02,,,simul-31,simulation,Ex09_03_WideQual_simul-31,2023-02-01,1503.8450322710096,1239.0818846459342,95.66264254422633,59.9999
46,0.9776,0.0024,0.02,,,simul-46,simulation,Ex09_03_WideQual_simul-46,2023-02-16,1503.1518242316824,1214.6262501639692,95.75293448817844,59.9999
61,0.9772,0.0028000000000000004,0.02,,,simul-61,simulation,Ex09_03_WideQual_simul-61,2023-03-03,1503.7130053840751,1220.7077598075077,97.46179313112397,59.9999
77,0.968,0.012,0.02,,,simul-77,simulation,Ex09_03_WideQual_simul-77,2023-03-19,1503.4145403471223,1282.919742511836,97.05380731030331,59.9999
92,0.8155,0.16449999999999998,0.02,,,simul-92,simulation,Ex09_03_WideQual_simul-92,2023-04-03,1504.9245560646089,1141.250619884203,98.08046015449955,59.9999
107,0.19579999999999997,0.7842,0.02,,,simul-107,simulation,Ex09_03_WideQual_simul-107,2023-04-18,1502.2304116643816,1224.3681617228374,98.4851018292479,59.9999
122,0.012,0.968,0.02,,,simul-122,simulation,Ex09_03_WideQual_simul-122,2023-05-03,1503.6281309567603,1164.3928587940595,96.38832224191553,59.9999
137,0.0006,0.9793999999999999,0.02,,,simul-137,simulation,Ex09_03_WideQual_simul-137,2023-05-18,1500.8116242517474,1287.7574253998475,96.45854930943383,59.9999
153,,0.9799,0.02,0.0001,,simul-153,simulation,Ex09_03_WideQual_simul-153,2023-06-03,1502.8219911045715,1233.8993007661104,97.02036584958032,59.9998
168,,0.9776,0.02,0.0024,,simul-168,simulation,Ex09_03_WideQual_simul-168,2023-06-18,1503.3637093268235,1136.7806917744233,98.67571815536903,59.9998
183,,0.9342,0.02,0.0458,,simul-183,simulation,Ex09_03_WideQual_simul-183,2023-07-03,1503.1762364980102,1341.272850260784,97.42166337825637,59.9999
198,,0.4938,0.02,0.48619999999999997,,simul-198,simulation,Ex09_03_WideQual_simul-198,2023-07-18,1501.7873791927232,1198.3193102110545,98.66568571715213,59.9999
213,,0.0472,0.02,0.9328,,simul-213,simulation,Ex09_03_WideQual_simul-213,2023-08-02,1500.8236966190684,1205.5026089209966,95.4051432966592,59.9999
229,,0.002,0.02,0.978,,simul-229,simulation,Ex09_03_WideQual_simul-229,2023-08-18,1502.03839079691,1175.1725571557336,97.57549409758218,59.9999
244,,0.0001,0.02,0.9799,,simul-244,simulation,Ex09_03_WideQual_simul-244,2023-09-02,1502.7154466107079,1169.357614252032,96.10072567969769,59.9998
259,,,0.02,0.9797,0.0003,simul-259,simulation,Ex09_03_WideQual_simul-259,2023-09-17,1502.123265224225,1187.4628367874932,94.56910677858409,59.9999
274,,,0.02,0.9747,0.0053,simul-274,simulation,Ex09_03_WideQual_simul-274,2023-10-02,1502.396214426646,1201.7485932927991,96.9467946359897,60
289,,,0.02,0.8835999999999999,0.0964,simul-289,simulation,Ex09_03_WideQual_simul-289,2023-10-17,1501.154532990001,1123.5526843467603,97.12403437782162,59.9998
305,,,0.02,0.2666,0.7134,simul-305,simulation,Ex09_03_WideQual_simul-305,2023-11-02,1502.2067351101896,1305.5856795412114,97.48854629970238,60
320,,,0.02,0.0179,0.9621,simul-320,simulation,Ex09_03_WideQual_simul-320,2023-11-17,1504.0967795873323,1140.587393215633,98.94993813329766,59.9999
335,,,0.02,0.0009,0.9791,simul-335,simulation,Ex09_03_WideQual_simul-335,2023-12-02,1502.095375045982,1129.2808326762251,94.76306725077751,59.9999
350,,,0.02,,0.98,simul-350,simulation,Ex09_03_WideQual_simul-350,2023-12-17,1502.645186101729,1133.3193152139097,97.50861117613617,59.9999
366,,,0.02,,0.98,simul-366,simulation,Ex09_03_WideQual_simul-366,2024-01-02,1503.4981774403907,1186.3668249674754,97.48854629970238,59.9999
