timepoint,BA.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2.3,BA.2.9,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.5.1.10,BF.7.22,BF.7.24,BN.1.3.1,BQ.1.2.1,BQ.1.3.2,B.1.1.529,BA.1.18,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5.1.22,BA.5.5,BE.1,BE.1.4,BF.1,BF.12,BA.5.2.20,BF.11,BA.2.75.1,BA.5.1.23,BA.5.1.5,BE.1.1.2,BN.2,BA.5.2.26,BA.5.2.3,AY.43,AY.46.6,B.1.617.2,BA.2.36,BA.5.3,BQ.1.1.23,BA.1.20,BA.5.1.2,BM.1.1,BA.4.1.2,XBB.2,BA.2.75.2,BA.5.1.30,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,,,0.28,0.17,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,simul-29,simulation,Ex18_01_realTimecourse_simul-29,2022-07-13,1507.277798214226,1970.7220505403418,83.58024278500484,59.9999
31,0.06,,,,0.03,0.22,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,,,0.02,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,0.01,,0.02,,,,,,0.02,0.01,,0.02,,,,,,,,,0.01,,,,,,,,,simul-31,simulation,Ex18_01_realTimecourse_simul-31,2022-07-27,1506.0172892351939,1805.6640817172115,79.87827308296826,59.9999
34,0.02,,,,0.07,0.2,,0.19,0.14,,,,,0.08,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,0.01,,0.02,0.01,0.03,0.01,0.01,,,,,,,,,,,,,,,,,simul-34,simulation,Ex18_01_realTimecourse_simul-34,2022-08-17,1501.028124268468,1912.15697261464,85.38273751797479,59.9999
36,0.02,,,0.01,0.02,0.19,,0.26,0.17,,,,,0.06,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,0.02,,0.02,0.03,,,,,,,,,,,,,,,simul-36,simulation,Ex18_01_realTimecourse_simul-36,2022-08-31,1503.2916095375047,1834.2076281803156,84.47981807845368,59.9999
38,,,,0.02,0.02,0.18,,0.26,0.1,0.01,,,0.03,0.05,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,0.02,,0.02,0.01,,0.01,,0.02,0.01,,,,,,,,0.01,0.02,,,,,,simul-38,simulation,Ex18_01_realTimecourse_simul-38,2022-09-14,1504.4928936895963,1742.9215729339917,86.54984449720764,59.9999
40,0.02,0.07,0.07,0.01,0.01,0.17,,0.21,0.1,,0.01,0.01,0.02,0.02,0.03,0.03,0.04,,0.02,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,0.04,0.02,,simul-40,simulation,Ex18_01_realTimecourse_simul-40,2022-09-28,1496.113600642076,1671.2794348055684,85.08845266361234,59.9998
42,0.01,0.14,0.02,0.02,0.02,0.09,0.01,0.2,0.09,0.02,0.01,0.02,0.03,0.04,0.06,0.02,0.03,0.02,0.03,0.08,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex18_01_realTimecourse_simul-42,2022-10-12,1485.57863759489,1753.3514249986995,82.84118650302645,59.9999
45,,0.01,,0.01,,0.11,,0.14,0.08,0.02,,0.02,0.04,,0.09,0.03,0.1,,,0.02,0.03,,,,,,,,,,,,,,,0.02,,,0.01,0.03,0.05,,,,,,0.02,0.02,,0.05,,,,,0.02,,,,,,,,,,,,,,,0.03,0.01,,,0.01,,,,,,,,,,,,,,,0.01,,,,simul-45,simulation,Ex18_01_realTimecourse_simul-45,2022-11-02,1492.6850148814501,1712.1128381278145,86.49633816005084,59.9999
47,,0.02,,,0.03,0.04,,0.14,0.06,,,,0.08,,0.03,,0.06,,,,0.04,,,,,,,,,,,,,,0.02,0.02,0.02,0.04,0.05,0.07,0.06,,,,,,,0.02,,0.13,,,,,0.04,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex18_01_realTimecourse_simul-47,2022-11-16,1499.2608099521788,1730.220490434713,88.35902752232218,59.9999
49,,,,,0.02,0.02,,0.12,0.01,,,,0.01,0.01,0.06,0.01,0.11,,,,0.02,,,,,,,,,,,0.02,,0.01,0.03,0.01,,0.02,,0.07,0.18,0.02,0.02,0.01,,,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex18_01_realTimecourse_simul-49,2022-11-30,1496.534595191118,1557.5092550152865,85.4429321472762,59.9999
51,,0.02,,,0.03,0.02,,0.05,,,,,0.01,,0.05,,0.11,,,,0.01,,,,,,,,,,,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.04,0.27,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex18_01_realTimecourse_simul-51,2022-12-14,1501.5853927699561,2094.000882664302,81.86803999598703,59.9999
