timepoint,B.1.1.529,BA.2,XBB,XBB.1.16,others,sample_name,tool_name
1,0.9,,0.1,,0.0,lollipop_v0.3.0-1,lollipop_v0.3.0
16,0.9,,0.1,,0.0,lollipop_v0.3.0-16,lollipop_v0.3.0
31,0.87,0.13,,,0.0,lollipop_v0.3.0-31,lollipop_v0.3.0
46,0.9,0.09,0.01,,0.0,lollipop_v0.3.0-46,lollipop_v0.3.0
61,0.87,,0.13,,0.0,lollipop_v0.3.0-61,lollipop_v0.3.0
77,0.84,0.16,,,0.0,lollipop_v0.3.0-77,lollipop_v0.3.0
92,0.92,,0.08,,0.0,lollipop_v0.3.0-92,lollipop_v0.3.0
107,0.82,0.18,,,0.0,lollipop_v0.3.0-107,lollipop_v0.3.0
122,0.89,0.11,,,0.0,lollipop_v0.3.0-122,lollipop_v0.3.0
137,0.72,,0.28,,0.0,lollipop_v0.3.0-137,lollipop_v0.3.0
153,0.86,,0.14,,0.0,lollipop_v0.3.0-153,lollipop_v0.3.0
168,0.89,0.11,,,0.0,lollipop_v0.3.0-168,lollipop_v0.3.0
183,0.76,,0.24,,0.0,lollipop_v0.3.0-183,lollipop_v0.3.0
198,0.89,0.11,,,0.0,lollipop_v0.3.0-198,lollipop_v0.3.0
213,0.89,,0.11,,0.0,lollipop_v0.3.0-213,lollipop_v0.3.0
229,0.9,0.1,,,0.0,lollipop_v0.3.0-229,lollipop_v0.3.0
244,0.88,,0.12,,0.0,lollipop_v0.3.0-244,lollipop_v0.3.0
259,0.89,0.11,,,0.0,lollipop_v0.3.0-259,lollipop_v0.3.0
274,0.91,,0.09,,0.0,lollipop_v0.3.0-274,lollipop_v0.3.0
289,0.9,0.1,,,0.0,lollipop_v0.3.0-289,lollipop_v0.3.0
305,0.9,,0.1,,0.0,lollipop_v0.3.0-305,lollipop_v0.3.0
320,0.82,,,0.18,0.0,lollipop_v0.3.0-320,lollipop_v0.3.0
335,0.89,0.11,,,0.0,lollipop_v0.3.0-335,lollipop_v0.3.0
350,0.89,,0.11,,0.0,lollipop_v0.3.0-350,lollipop_v0.3.0
366,0.91,0.04,,0.04,0.0,lollipop_v0.3.0-366,lollipop_v0.3.0
