timepoint,B.1.1.529,others,sample_name,tool_name
1,0.98,0.02,quaid_vaec47270-1,quaid_vaec47270
61,0.48,0.52,quaid_vaec47270-61,quaid_vaec47270
107,0.93,0.07,quaid_vaec47270-107,quaid_vaec47270
168,0.02,0.98,quaid_vaec47270-168,quaid_vaec47270
183,0.98,0.02,quaid_vaec47270-183,quaid_vaec47270
198,0.97,0.03,quaid_vaec47270-198,quaid_vaec47270
213,1.0,0.0,quaid_vaec47270-213,quaid_vaec47270
244,0.98,0.02,quaid_vaec47270-244,quaid_vaec47270
289,0.16,0.84,quaid_vaec47270-289,quaid_vaec47270
320,1.0,0.0,quaid_vaec47270-320,quaid_vaec47270
366,0.98,0.02,quaid_vaec47270-366,quaid_vaec47270
