timepoint,XBB.1.9,XBB.1.5,others,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex27_01_nearQual_simul-1,2023-01-02,1371.09,2357.9,66.53,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex27_01_nearQual_simul-16,2023-01-17,1466.61,2464.22,64.33,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex27_01_nearQual_simul-31,2023-02-01,1466.26,3302.03,65.92,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex27_01_nearQual_simul-46,2023-02-16,1479.46,3221.47,61.75,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex27_01_nearQual_simul-61,2023-03-03,1462.65,3089.57,64.4,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex27_01_nearQual_simul-77,2023-03-19,1500.75,3225.48,58.99,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex27_01_nearQual_simul-92,2023-04-03,1424.81,2264.39,65.16,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex27_01_nearQual_simul-107,2023-04-18,1483.24,2765.67,60.99,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex27_01_nearQual_simul-122,2023-05-03,1439.48,2276.57,63.35,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex27_01_nearQual_simul-137,2023-05-18,1479.48,2609.33,67.8,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex27_01_nearQual_simul-153,2023-06-03,1430.48,2623.3,60.41,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex27_01_nearQual_simul-168,2023-06-18,1475.75,2609.62,64.48,60.0,simulation-168,simulation
183,,0.93,0.02,0.05,,Ex27_01_nearQual_simul-183,2023-07-03,1473.19,3042.65,60.25,60.0,simulation-183,simulation
198,,0.49,0.02,0.49,,Ex27_01_nearQual_simul-198,2023-07-18,1374.11,3361.68,57.47,60.0,simulation-198,simulation
213,,0.05,0.02,0.93,,Ex27_01_nearQual_simul-213,2023-08-02,1508.71,3092.34,63.71,60.0,simulation-213,simulation
229,,,0.02,0.98,,Ex27_01_nearQual_simul-229,2023-08-18,1430.28,2904.92,57.56,60.0,simulation-229,simulation
244,,,0.02,0.98,,Ex27_01_nearQual_simul-244,2023-09-02,1497.03,2811.96,63.07,60.0,simulation-244,simulation
259,,,0.02,0.98,,Ex27_01_nearQual_simul-259,2023-09-17,1491.35,2940.89,65.89,60.0,simulation-259,simulation
274,,,0.03,0.97,,Ex27_01_nearQual_simul-274,2023-10-02,1501.33,2511.42,62.83,60.0,simulation-274,simulation
289,,,0.02,0.88,0.1,Ex27_01_nearQual_simul-289,2023-10-17,1502.02,2705.4,65.4,60.0,simulation-289,simulation
305,,,0.02,0.27,0.71,Ex27_01_nearQual_simul-305,2023-11-02,1477.8,2945.03,61.98,60.0,simulation-305,simulation
320,,,0.02,0.02,0.96,Ex27_01_nearQual_simul-320,2023-11-17,1482.25,2543.06,62.24,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex27_01_nearQual_simul-335,2023-12-02,1472.78,2929.27,65.34,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex27_01_nearQual_simul-350,2023-12-17,1491.8,2507.27,60.47,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex27_01_nearQual_simul-366,2024-01-02,1399.98,2327.56,63.62,60.0,simulation-366,simulation
