timepoint,AY.74,AY.82,AY.46.4,B.1.36.22,B.1.1.431,AY.132,AY.24,AY.71,AY.122.1,AY.26,AY.106,AY.45,Q.7,AY.47,AY.41,B.1.617.2,AY.44,AY.6,AY.4.1,AY.59,AY.57,AY.32,AY.88,AY.11,B.1.1.46,B.1.9.4,B.1.1.161,B.1.351,B.1.1.317,B.1.616,B.1.351.3,BA.1.1.13,B.1.143,B.1.9.1,B.1.1.243,B.1.1.7,B.1.351.2,B.1.399,B.1.1.213,P.1.12.1,BM.1.1.1,P.1.16,BK.1,XA,P.1.12,P.1,BA.1.16,U.3,K.1,AS.2,B.1.35,Q.8,Q.6,Q.1,Q.4,AY.90,AH.3,B.1.1.152,B.1.1.311,AY.102,AY.55,B.1.36.24,B.1.407,B.1.258.22,B.1.1.28,BG.1,B.1.576,B.1.224,B.1.1.37,BH.1,B.1.640.2,XBB.3.2,AY.35,FL.1.2,AY.60,AY.46.6,AY.127,B.1.637.1,others,sample_name,tool_name
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,0.02,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.06,,,,,0.02,,,,0.64,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.77,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.01,,,0.08,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.12,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.41,,,0.02,0.32,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-289,vlq_vd04ad36
305,0.06,,,,,,0.05,0.02,,,,,,0.04,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.18,,,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.04,,0.45,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.02,0.51,0.17,,,,,,,,,,,,,0.01,,,,,,,,,,,0.24,vlq_vd04ad36-31,vlq_vd04ad36
320,0.01,,,,,,0.02,,0.04,0.01,,,,,0.01,0.02,,,,0.01,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.06,,,,,,,,,,,0.01,,0.06,,,,,0.68,vlq_vd04ad36-320,vlq_vd04ad36
335,0.02,0.01,0.01,,,,,,,,,0.05,,0.02,,,0.01,,0.01,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,0.16,,,,,,0.02,,,,,,,,,,,0.04,,,0.01,,0.02,0.57,vlq_vd04ad36-335,vlq_vd04ad36
350,0.01,,,,,,,,0.03,,0.01,,,0.01,,,,0.02,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.14,0.01,0.1,0.03,,,,,,,,,,,,,,,0.57,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,0.09,,0.13,,,,,,0.02,,0.14,,0.01,,,,,,0.05,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.01,,0.37,0.22,,,,0.01,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.42,0.37,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,0.06,0.01,0.43,0.23,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.14,,,,,,,,,,,,,,,,,,0.37,0.05,,,,,,,,,,,,,,,,0.02,,,,,,,,0.38,vlq_vd04ad36-92,vlq_vd04ad36
