timepoint,B.1.1.7,B.1.351,others,P.1,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,,0.02,,,simul-1,simulation,Ex10_02_WideQual_simul-1,2023-01-02,1505.4604889141558,1713.4747264902303,92.70307327024044,59.9998
16,0.98,,0.02,,,simul-16,simulation,Ex10_02_WideQual_simul-16,2023-01-17,1502.3448149015148,1352.9954652183908,90.67986489649867,59.9997
31,0.9776,0.0024,0.02,,,simul-31,simulation,Ex10_02_WideQual_simul-31,2023-02-01,1501.7295923485938,1808.4303307664807,90.0478212888339,59.9999
46,0.9776,0.0024,0.02,,,simul-46,simulation,Ex10_02_WideQual_simul-46,2023-02-16,1499.5638564692506,1698.4620948336326,89.58298498478413,59.9998
61,0.9772,0.0028000000000000004,0.02,,,simul-61,simulation,Ex10_02_WideQual_simul-61,2023-03-03,1500.8974684814232,1726.3580548147586,91.78343310035783,59.9999
77,0.968,0.012,0.02,,,simul-77,simulation,Ex10_02_WideQual_simul-77,2023-03-19,1500.2313145838211,1640.0151703095498,85.24562752901048,59.9999
92,0.8155,0.16449999999999998,0.02,,,simul-92,simulation,Ex10_02_WideQual_simul-92,2023-04-03,1499.7355114871418,1789.8569612630592,87.26549175667994,60
107,0.19579999999999997,0.7842,0.02,,,simul-107,simulation,Ex10_02_WideQual_simul-107,2023-04-18,1501.44865063706,1673.665935043903,89.74684814232685,59.9999
122,0.012,0.968,0.02,,,simul-122,simulation,Ex10_02_WideQual_simul-122,2023-05-03,1502.2037588201852,1522.2849321786184,91.40888874026018,59.9999
137,0.0006,0.9793999999999999,0.02,,,simul-137,simulation,Ex10_02_WideQual_simul-137,2023-05-18,1501.4420292278367,1718.0279460041415,89.04123332107147,59.9999
153,,0.9799,0.02,0.0001,,simul-153,simulation,Ex10_02_WideQual_simul-153,2023-06-03,1503.448985051667,1612.4225330599959,92.3485937865766,59.9999
168,,0.9776,0.02,0.0024,,simul-168,simulation,Ex10_02_WideQual_simul-168,2023-06-18,1505.0122395746246,1607.785743865786,88.84727284887803,59.9998
183,,0.9342,0.02,0.0458,,simul-183,simulation,Ex10_02_WideQual_simul-183,2023-07-03,1500.38668361034,1527.6105941224066,92.16800989867238,59.9998
198,,0.4938,0.02,0.48619999999999997,,simul-198,simulation,Ex10_02_WideQual_simul-198,2023-07-18,1500.4628298164064,1468.5851167075382,90.57954051432966,59.9999
213,,0.0472,0.02,0.9328,,simul-213,simulation,Ex10_02_WideQual_simul-213,2023-08-02,1499.1461726248203,1664.1291479785289,91.21827241413905,59.9999
229,,0.002,0.02,0.978,,simul-229,simulation,Ex10_02_WideQual_simul-229,2023-08-18,1501.9554894157777,1661.876900186765,92.3887235394442,59.9998
244,,0.0001,0.02,0.9799,,simul-244,simulation,Ex10_02_WideQual_simul-244,2023-09-02,1502.666555195131,1545.9423376042541,91.53931043707989,59.9999
259,,,0.02,0.9797,0.0003,simul-259,simulation,Ex10_02_WideQual_simul-259,2023-09-17,1502.122161656021,1529.6659151190215,90.53606661538977,59.999
274,,,0.02,0.9747,0.0053,simul-274,simulation,Ex10_02_WideQual_simul-274,2023-10-02,1502.966190683209,1518.621575385201,87.29893321740295,59.9999
289,,,0.02,0.8835999999999999,0.0964,simul-289,simulation,Ex10_02_WideQual_simul-289,2023-10-17,1501.6390663144166,1454.684512491388,89.09473965822828,59.9999
305,,,0.02,0.2666,0.7134,simul-305,simulation,Ex10_02_WideQual_simul-305,2023-11-02,1501.5547269504732,1490.6414127559183,92.01752332541886,59.9999
320,,,0.02,0.0179,0.9621,simul-320,simulation,Ex10_02_WideQual_simul-320,2023-11-17,1503.7641373775207,1591.489838613378,89.25525866969869,59.9998
335,,,0.02,0.0009,0.9791,simul-335,simulation,Ex10_02_WideQual_simul-335,2023-12-02,1502.0650436411063,1502.1243101901835,91.73327090927332,60
350,,,0.02,,0.98,simul-350,simulation,Ex10_02_WideQual_simul-350,2023-12-17,1500.105173393974,1461.9249024422904,87.45610808280105,59.9999
366,,,0.02,,0.98,simul-366,simulation,Ex10_02_WideQual_simul-366,2024-01-02,1504.4662408454,1431.5019824692274,91.20823997592214,59.9999
