timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.9,,0.07,,,0.03,virpool_v763c212-1,virpool_v763c212
16,,,,,,1.0,virpool_v763c212-16,virpool_v763c212
31,0.97,,,,,0.03,virpool_v763c212-31,virpool_v763c212
46,,,,,,1.0,virpool_v763c212-46,virpool_v763c212
61,,0.94,,,,0.06,virpool_v763c212-61,virpool_v763c212
77,0.15,,,,0.85,0.0,virpool_v763c212-77,virpool_v763c212
92,,0.68,,0.32,,0.0,virpool_v763c212-92,virpool_v763c212
107,0.85,,,,,0.15,virpool_v763c212-107,virpool_v763c212
122,,,0.33,,,0.67,virpool_v763c212-122,virpool_v763c212
137,,,,,,1.0,virpool_v763c212-137,virpool_v763c212
153,,,0.09,,0.9,0.0,virpool_v763c212-153,virpool_v763c212
168,,0.08,,0.59,0.33,0.0,virpool_v763c212-168,virpool_v763c212
183,,,0.64,0.36,,0.0,virpool_v763c212-183,virpool_v763c212
198,0.45,,0.28,,0.27,0.0,virpool_v763c212-198,virpool_v763c212
213,,,,,1.0,0.0,virpool_v763c212-213,virpool_v763c212
229,0.44,0.55,,,,0.01,virpool_v763c212-229,virpool_v763c212
244,0.98,,,,0.02,0.0,virpool_v763c212-244,virpool_v763c212
259,,0.98,,,,0.02,virpool_v763c212-259,virpool_v763c212
274,,0.49,0.51,,,0.0,virpool_v763c212-274,virpool_v763c212
289,,0.11,,0.89,,0.0,virpool_v763c212-289,virpool_v763c212
305,,,0.97,0.03,,0.0,virpool_v763c212-305,virpool_v763c212
320,,,0.61,,,0.39,virpool_v763c212-320,virpool_v763c212
335,,,,,,1.0,virpool_v763c212-335,virpool_v763c212
350,,,1.0,,,0.0,virpool_v763c212-350,virpool_v763c212
366,,,,,,1.0,virpool_v763c212-366,virpool_v763c212
