timepoint,XBB.1.5,XBB.2.3,others,XBB.1.16,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,,0.98,Ex29_03_nearQual_simul-1,2023-01-02,1506.1,8612.99,8.04,60.0,simulation-1,simulation
16,,,0.02,,0.98,Ex29_03_nearQual_simul-16,2023-01-17,1492.43,10241.22,7.11,60.0,simulation-16,simulation
31,,,0.02,,0.98,Ex29_03_nearQual_simul-31,2023-02-01,1502.25,7909.21,9.1,60.0,simulation-31,simulation
46,,,0.02,,0.98,Ex29_03_nearQual_simul-46,2023-02-16,1495.93,7418.13,8.14,60.0,simulation-46,simulation
61,,,0.02,,0.98,Ex29_03_nearQual_simul-61,2023-03-03,1501.47,8399.42,8.53,60.0,simulation-61,simulation
77,0.01,,0.02,,0.97,Ex29_03_nearQual_simul-77,2023-03-19,1394.61,8558.18,7.15,60.0,simulation-77,simulation
92,0.16,,0.02,,0.82,Ex29_03_nearQual_simul-92,2023-04-03,1505.57,9658.78,6.32,60.0,simulation-92,simulation
107,0.78,,0.02,,0.2,Ex29_03_nearQual_simul-107,2023-04-18,1493.04,10277.46,4.78,60.0,simulation-107,simulation
122,0.97,,0.02,,0.01,Ex29_03_nearQual_simul-122,2023-05-03,1496.25,9496.36,9.56,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex29_03_nearQual_simul-137,2023-05-18,1486.25,14037.94,4.84,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex29_03_nearQual_simul-153,2023-06-03,1503.8,14052.39,7.47,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex29_03_nearQual_simul-168,2023-06-18,1490.33,9424.07,8.69,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex29_03_nearQual_simul-183,2023-07-03,1444.41,11488.37,7.02,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex29_03_nearQual_simul-198,2023-07-18,1499.84,8661.86,12.01,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex29_03_nearQual_simul-213,2023-08-02,1489.95,12375.44,3.6,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex29_03_nearQual_simul-229,2023-08-18,1488.01,8527.26,10.57,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex29_03_nearQual_simul-244,2023-09-02,1494.14,13191.92,5.13,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex29_03_nearQual_simul-259,2023-09-17,1413.47,10549.91,5.28,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex29_03_nearQual_simul-274,2023-10-02,1511.09,6888.04,12.01,60.0,simulation-274,simulation
289,,0.88,0.02,0.1,,Ex29_03_nearQual_simul-289,2023-10-17,1441.03,10600.11,9.52,60.0,simulation-289,simulation
305,,0.27,0.02,0.71,,Ex29_03_nearQual_simul-305,2023-11-02,1467.96,12035.22,6.14,60.0,simulation-305,simulation
320,,0.02,0.02,0.96,,Ex29_03_nearQual_simul-320,2023-11-17,1474.23,8242.76,12.79,60.0,simulation-320,simulation
335,,,0.02,0.98,,Ex29_03_nearQual_simul-335,2023-12-02,1513.43,13227.14,6.09,60.0,simulation-335,simulation
350,,,0.02,0.98,,Ex29_03_nearQual_simul-350,2023-12-17,1476.69,12712.87,7.47,60.0,simulation-350,simulation
366,,,0.02,0.98,,Ex29_03_nearQual_simul-366,2024-01-02,1483.93,10264.3,8.25,60.0,simulation-366,simulation
