timepoint,B.1.351,B.1.351.2,B.1.177.78,B.1.351.3,B.1.526,B.1.524,P.1-like,Misc,C.40,B.1.351.5,B.1.214.3,Q.7,Q.8,Q.6,Q.5,Q.3,Q.1,B.1.1.7,Q.4,B.1.1.28,B.1.466,B.1.131,B.1.214,B.1.591,B.1.411,AY.30,AY.48,B.1.1.487,B.1.1.161,B.1.428.2,B.1.1.226,B.1.433,B.1.428.1,P.1,AY.55,AY.61,AY.24,AY.38,AY.75,AY.58,AY.69,AY.26,AY.71,AY.59,AY.57,AY.67,AY.66,AY.56,AY.47,AY.70,AY.37,AY.72,AY.60,AY.64,Q.2,P.1.10.1,P.1.17.1,P.1.10.2,P.1.11,P.1.15,P.1.14,P.1.17,P.1.1,P.1.10,P.1.16,P.1.7,P.1.4,P.1.12,B.1.482,B.1.474,B.1.214.1,B.1.530,B.1.428.3,P.1.3,P.1.8,P.1.2,P.1.6,P.1.13,P.1.7.1,B.1.1.344,AY.65,AY.28,AY.27,AY.9,AY.16.1,AY.8,AY.17,AY.15,AY.51,AY.19,AY.14,AY.54,AY.50,AY.49,AY.16,AY.13,AY.18,AY.10,AY.2,AY.74,AY.62,AY.9.2,AY.52,AY.53,AY.133,AY.9.2.2,AY.9.2.1,AY.26.1,AY.75.3,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-1,freyja_v1.5.3
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.5.3-16,freyja_v1.5.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.5.3-31,freyja_v1.5.3
46,,,,,,,,,,,,,,,,0.33,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-46,freyja_v1.5.3
61,,,,,,,,,,,,,,,,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-61,freyja_v1.5.3
77,,,,,,,,,,,,,,,0.19,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-77,freyja_v1.5.3
92,,,,,,,,,,,,0.13,,,,0.13,0.13,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,freyja_v1.5.3-92,freyja_v1.5.3
107,0.16,0.16,,0.16,0.16,,,,,0.16,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-107,freyja_v1.5.3
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.5.3-122,freyja_v1.5.3
137,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-137,freyja_v1.5.3
153,0.49,0.49,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-153,freyja_v1.5.3
168,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v1.5.3-168,freyja_v1.5.3
183,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,,,,,0.08,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v1.5.3-183,freyja_v1.5.3
198,0.12,,,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,freyja_v1.5.3-198,freyja_v1.5.3
213,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.5.3-213,freyja_v1.5.3
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1,,0.1,0.1,0.1,0.1,,,0.1,,,,,,0.1,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-229,freyja_v1.5.3
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,,0.06,0.06,,0.06,0.06,0.06,0.06,0.06,,0.06,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-259,freyja_v1.5.3
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-274,freyja_v1.5.3
289,,,,,,,0.88,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-289,freyja_v1.5.3
