timepoint,B.1.1.529,others,sample_name,tool_name
1,0.18,0.82,quaid_vaec47270-1,quaid_vaec47270
16,0.64,0.36,quaid_vaec47270-16,quaid_vaec47270
31,0.95,0.05,quaid_vaec47270-31,quaid_vaec47270
61,0.95,0.05,quaid_vaec47270-61,quaid_vaec47270
77,0.99,0.01,quaid_vaec47270-77,quaid_vaec47270
92,0.98,0.02,quaid_vaec47270-92,quaid_vaec47270
122,1.0,0.0,quaid_vaec47270-122,quaid_vaec47270
213,0.97,0.03,quaid_vaec47270-213,quaid_vaec47270
244,0.13,0.87,quaid_vaec47270-244,quaid_vaec47270
259,0.38,0.62,quaid_vaec47270-259,quaid_vaec47270
305,0.98,0.02,quaid_vaec47270-305,quaid_vaec47270
