timepoint,XBB.2.3,XBB.1.16,others,XBB.1.5,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,,0.98,Ex27_02_nearQual_simul-1,2023-01-02,1450.68,2902.92,57.36,60.0,simulation-1,simulation
16,,,0.02,,0.98,Ex27_02_nearQual_simul-16,2023-01-17,1501.6,2339.12,65.28,60.0,simulation-16,simulation
31,,,0.02,,0.98,Ex27_02_nearQual_simul-31,2023-02-01,1441.55,2074.24,61.95,60.0,simulation-31,simulation
46,,,0.02,,0.98,Ex27_02_nearQual_simul-46,2023-02-16,1485.17,2793.1,55.66,60.0,simulation-46,simulation
61,,,0.02,,0.98,Ex27_02_nearQual_simul-61,2023-03-03,1500.03,2640.06,61.35,60.0,simulation-61,simulation
77,,,0.02,0.01,0.97,Ex27_02_nearQual_simul-77,2023-03-19,1486.36,2262.05,65.73,60.0,simulation-77,simulation
92,,,0.02,0.16,0.82,Ex27_02_nearQual_simul-92,2023-04-03,1409.33,2937.87,62.71,60.0,simulation-92,simulation
107,,,0.02,0.78,0.2,Ex27_02_nearQual_simul-107,2023-04-18,1490.37,3401.03,56.51,60.0,simulation-107,simulation
122,,,0.02,0.97,0.01,Ex27_02_nearQual_simul-122,2023-05-03,1403.83,2563.92,64.97,60.0,simulation-122,simulation
137,,,0.02,0.98,,Ex27_02_nearQual_simul-137,2023-05-18,1498.1,2743.22,65.56,60.0,simulation-137,simulation
153,,,0.02,0.98,,Ex27_02_nearQual_simul-153,2023-06-03,1470.16,2766.5,62.29,60.0,simulation-153,simulation
168,,,0.02,0.98,,Ex27_02_nearQual_simul-168,2023-06-18,1450.69,2331.93,67.27,60.0,simulation-168,simulation
183,0.05,,0.02,0.93,,Ex27_02_nearQual_simul-183,2023-07-03,1474.84,2619.52,66.27,60.0,simulation-183,simulation
198,0.49,,0.02,0.49,,Ex27_02_nearQual_simul-198,2023-07-18,1445.98,2739.99,68.71,60.0,simulation-198,simulation
213,0.93,,0.02,0.05,,Ex27_02_nearQual_simul-213,2023-08-02,1477.85,2731.25,63.47,60.0,simulation-213,simulation
229,0.98,,0.02,,,Ex27_02_nearQual_simul-229,2023-08-18,1459.52,2318.72,62.29,60.0,simulation-229,simulation
244,0.98,,0.02,,,Ex27_02_nearQual_simul-244,2023-09-02,1503.58,3301.56,63.37,60.0,simulation-244,simulation
259,0.98,,0.02,,,Ex27_02_nearQual_simul-259,2023-09-17,1463.33,2499.32,57.45,60.0,simulation-259,simulation
274,0.97,,0.03,,,Ex27_02_nearQual_simul-274,2023-10-02,1431.36,2317.88,65.32,60.0,simulation-274,simulation
289,0.88,0.1,0.02,,,Ex27_02_nearQual_simul-289,2023-10-17,1505.87,2534.26,60.79,60.0,simulation-289,simulation
305,0.27,0.71,0.02,,,Ex27_02_nearQual_simul-305,2023-11-02,1489.39,3005.78,64.24,60.0,simulation-305,simulation
320,0.02,0.96,0.02,,,Ex27_02_nearQual_simul-320,2023-11-17,1507.97,3223.48,65.55,60.0,simulation-320,simulation
335,,0.98,0.02,,,Ex27_02_nearQual_simul-335,2023-12-02,1435.2,2573.42,60.23,60.0,simulation-335,simulation
350,,0.98,0.02,,,Ex27_02_nearQual_simul-350,2023-12-17,1495.91,2778.2,54.22,60.0,simulation-350,simulation
366,,0.98,0.02,,,Ex27_02_nearQual_simul-366,2024-01-02,1496.57,4468.65,58.74,60.0,simulation-366,simulation
