timepoint,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.2,BA.2.9,BA.1.15,BA.1.17,BA.1.17.2,BA.1.18,BA.2.3,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,BF.14,AY.43,AY.46.6,B.1.617.2,BA.1.20,BA.2.3.20,BA.4.6,BA.5.1.5,BA.5.2.20,BA.5.2.27,BA.5.2.6,BA.5.9,BF.11,BF.5,BF.7,BF.7.6,BN.1,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,BF.7.5,BF.7.9,BN.1.2,BA.2.75.1,BA.5.1.23,BE.1.1.2,BQ.1.1.23,XBF,BA.4.1.2,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,XBB,BA.5.1.2,BA.5.2.26,BA.5.2.3,BM.1.1,BA.2.75.5,BA.5.1.3,BA.5.2.58,BL.1,BM.1.1.3,BR.3,CM.5,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BN.2,BA.2.36,BA.5.3,BA.2.75.2,BA.5.1.30,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,,,,,0.01,,,,,,,0.01,0.03,0.02,0.02,0.28,0.17,0.01,0.07,0.08,0.01,0.01,0.09,0.01,0.04,,0.08,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,simul-29,simulation,Ex20_01_realTimecourse_simul-29,2022-07-13,1501.8332943182959,2560.2074122314734,59.10109353576565,59.9999
31,,,0.02,,0.06,0.01,,,,,,,,,0.01,0.03,0.22,0.01,0.13,0.13,,0.02,0.1,,,,0.14,,,,,,,,,,,,,0.02,0.02,,,,,,0.02,,,,,,,,,0.02,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex20_01_realTimecourse_simul-31,2022-07-27,1498.5189780289604,2496.024475151599,66.79931779420126,59.9999
34,,,,,0.02,,,,,,,,,,,0.07,0.2,0.02,0.19,0.14,,0.02,0.08,,,,0.12,,,,,,,0.03,0.01,,,,,0.01,0.03,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,simul-34,simulation,Ex20_01_realTimecourse_simul-34,2022-08-17,1496.2183392970605,2442.6216405493024,70.94271477778149,59.9999
36,,,,,0.02,,,,,,,,,,,0.02,0.19,0.02,0.26,0.17,,,0.06,,,,0.12,,,,,,0.01,,0.02,,,,,0.04,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex20_01_realTimecourse_simul-36,2022-08-31,1502.7646055579708,3410.0372850161434,66.07698224258436,60
38,,,,,,,,,,,,,,,,0.02,0.18,,0.26,0.1,,0.01,0.05,0.01,,,0.13,,,,,,0.02,,0.02,0.01,,0.03,,0.01,0.03,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,0.01,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex20_01_realTimecourse_simul-38,2022-09-14,1505.7868441293515,2698.895076566875,68.34765742567636,59.9995
40,,,,,0.02,,,,,,,,,,,0.01,0.17,,0.21,0.1,,,0.02,,,,0.03,,,,,0.07,0.01,0.01,0.02,,0.01,0.02,,0.03,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.01,,0.02,0.01,,,,,,,,,,0.04,0.02,,simul-40,simulation,Ex20_01_realTimecourse_simul-40,2022-09-28,1490.0021068120257,2593.343248543176,66.08032638865666,59.9999
42,,,,,0.01,,,,,,,,,,,0.02,0.09,,0.2,0.09,,,0.04,,,,0.06,,,,,0.14,0.02,,,0.02,0.02,0.03,,0.02,0.03,,0.08,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.02,0.03,0.01,0.01,,,,,,,,,,,,simul-42,simulation,Ex20_01_realTimecourse_simul-42,2022-10-12,1493.7986489649868,2374.5436698686376,63.22108149683978,59.9999
45,,,,,,,,,,,,,,,,,0.11,,0.14,0.08,,,,,,,0.09,,,,,0.01,0.01,0.01,0.03,0.02,0.02,0.04,0.01,0.03,0.1,0.02,0.02,0.03,0.02,0.01,0.03,0.05,0.02,0.02,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex20_01_realTimecourse_simul-45,2022-11-02,1486.1847640704946,2890.415833508256,55.710129418453,59.9999
47,,,,,,,,,,,,,,,,0.03,0.04,,0.14,0.06,,,,,,,0.03,,,,,0.02,,,0.02,,,0.08,0.02,,0.06,0.02,,0.04,0.04,0.05,0.07,0.06,,0.02,0.13,,0.02,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex20_01_realTimecourse_simul-47,2022-11-16,1473.434872755242,2572.478242350728,57.31866367922951,60
49,,,,,,,,,,,,,,,,0.02,0.02,,0.12,0.01,,,0.01,,,,0.06,,,,,,,,,,,0.01,,0.01,0.11,0.01,,0.02,0.01,,0.07,0.18,0.02,0.01,0.05,,0.03,,0.02,,,,,0.01,,0.02,,0.01,0.02,0.02,0.01,,,0.01,,,,,,,,,,,,0.01,0.01,0.01,0.02,0.02,,,,,,,simul-49,simulation,Ex20_01_realTimecourse_simul-49,2022-11-30,1499.0266194027356,2630.2294453046984,55.920810621007924,59.9998
51,,,,,,,,,,,,,,,,0.03,0.02,,0.05,,,,,,,,0.05,,,,,0.02,,,,,,0.01,,,0.11,0.01,,0.01,,0.01,0.04,0.27,0.02,0.05,0.03,,0.02,0.01,0.02,,,,,0.03,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex20_01_realTimecourse_simul-51,2022-12-14,1496.5925158010903,2819.6065240202943,65.6489315453299,59.9999
