timepoint,B.1.617.2,BA.1,BA.2,BA.2.3.20,BA.2.75,BA.2.9,BA.5,BA.5.1,BF.7,BN.1,BQ.1,XBB,XBB.1.9,others,sample_name,tool_name
1,0.26,0.72,,,,,,,,,,,,0.02,vaquero-1,vaquero
3,0.31,0.48,,,,,0.21,,,,,,,0.0,vaquero-3,vaquero
5,,0.42,0.34,,,,0.19,,,,,,,0.05,vaquero-5,vaquero
7,,0.38,0.62,,,,,,,,,,,0.01,vaquero-7,vaquero
9,,0.54,0.44,,,,,,,,,,,0.03,vaquero-9,vaquero
12,,0.24,0.4,,,0.3,,,,,,,,0.06,vaquero-12,vaquero
14,,0.62,,,,,,,,,,,,0.38,vaquero-14,vaquero
18,,,0.79,,,,0.15,,,,,,,0.05,vaquero-18,vaquero
20,,,0.68,,,0.18,0.14,,,,,,,0.0,vaquero-20,vaquero
23,,,0.51,,,0.17,0.27,,,,,,,0.05,vaquero-23,vaquero
25,,,,,,,0.68,0.29,,,,,,0.02,vaquero-25,vaquero
27,,,,,,,0.61,,0.35,,,,,0.04,vaquero-27,vaquero
29,,,,,,,0.56,,0.4,,,,,0.05,vaquero-29,vaquero
31,,,0.12,,,,0.38,,0.49,,,,,0.02,vaquero-31,vaquero
34,,,0.11,,,,0.32,,0.56,,,,,0.0,vaquero-34,vaquero
36,,,0.04,,,,0.26,,0.66,,,,,0.04,vaquero-36,vaquero
38,,,0.22,,,,0.78,,,,,,,0.0,vaquero-38,vaquero
40,,,0.08,,0.18,,0.74,,,,,,,0.0,vaquero-40,vaquero
42,,,0.02,0.16,0.03,,0.31,,0.31,,,0.15,,0.02,vaquero-42,vaquero
45,,,0.03,,,,0.35,,0.46,,,0.06,0.11,0.0,vaquero-45,vaquero
47,,,,,,,0.22,,0.33,0.15,0.18,0.1,0.02,0.0,vaquero-47,vaquero
49,,,0.11,,,,0.14,,0.39,,0.36,,,0.0,vaquero-49,vaquero
51,,,,,0.16,,0.11,,0.3,,0.43,,,0.0,vaquero-51,vaquero
