timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,0.1,,,,0.9,virpool-1,virpool
3,0.04,,,,,0.96,virpool-3,virpool
5,0.03,0.05,,,,0.93,virpool-5,virpool
7,,,,,,1.0,virpool-7,virpool
9,0.15,0.05,0.06,,,0.74,virpool-9,virpool
12,0.29,,0.13,,,0.58,virpool-12,virpool
14,,,0.43,,,0.57,virpool-14,virpool
16,,,0.34,,,0.66,virpool-16,virpool
18,0.02,,0.6,,,0.38,virpool-18,virpool
20,0.25,0.14,0.26,,,0.35,virpool-20,virpool
23,,0.02,,,,0.98,virpool-23,virpool
25,,0.02,0.3,,,0.68,virpool-25,virpool
27,,,,,,1.0,virpool-27,virpool
29,0.06,0.29,,,,0.64,virpool-29,virpool
31,0.27,,,,0.08,0.65,virpool-31,virpool
34,,,,,,1.0,virpool-34,virpool
36,0.12,,,,,0.88,virpool-36,virpool
38,0.15,,,,,0.85,virpool-38,virpool
40,0.06,,,,,0.94,virpool-40,virpool
42,0.03,,,,0.02,0.95,virpool-42,virpool
45,0.04,,,,,0.96,virpool-45,virpool
47,,,,,0.01,0.99,virpool-47,virpool
49,0.03,,,,,0.97,virpool-49,virpool
51,,,,0.27,0.05,0.68,virpool-51,virpool
