timepoint,BA.2,BA.2.75.1,BA.5,BA.5.1,BA.5.1.22,BA.5.1.23,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BE.1,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BN.2,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17.2,BA.1.18,BA.1.20,BA.1.17,BA.1.1.1,BA.1.15,BA.2.3,BA.2.9,BA.2.12.1,BA.2.13,BA.2.56,BA.4,BA.4.1,BA.5.5,BE.1.4,BF.1,BA.4.1.2,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5.1.30,BA.5.2.58,BA.5.2.6,BA.5.9,BM.1.1.3,BN.1,BR.3,BA.5.2.26,BA.5.2.3,B.1.1.529,BA.5.3,BA.2.36,BA.5.1.2,BA.5.2.27,BM.1.1,BF.11,BF.7.6,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.9,BN.1.2,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,XBB,XBF,BF.12,BA.5.1.3,BL.1,CM.5,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BQ.1.1.23,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,0.28,0.17,0.01,0.01,,0.07,0.08,,0.01,0.09,,0.08,0.01,,,,,,,,,,,,,,,,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex17_01_realTimecourse_simul-29,2022-07-13,1500.2499749189044,1621.855862888315,88.96431796140855,59.9999
31,0.06,0.02,0.03,0.22,0.01,0.01,,0.13,0.13,,0.02,0.1,0.02,0.14,0.02,0.02,,,,,,0.02,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,simul-31,simulation,Ex17_01_realTimecourse_simul-31,2022-07-27,1500.5052670300638,1679.4741457843636,90.53272246931746,59.9999
34,0.02,0.02,0.07,0.2,0.02,0.01,0.03,0.19,0.14,0.01,0.02,0.08,0.01,0.12,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex17_01_realTimecourse_simul-34,2022-08-17,1500.1842624485837,1897.3808737516883,89.95084105273719,60
36,0.02,,0.02,0.19,0.02,,,0.26,0.17,0.02,,0.06,0.02,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex17_01_realTimecourse_simul-36,2022-08-31,1500.8647292913754,1510.6388052810864,91.98408186469585,60
38,,0.02,0.02,0.18,,0.01,,0.26,0.1,0.02,0.01,0.05,0.01,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,0.03,,,,0.02,0.01,,,,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex17_01_realTimecourse_simul-38,2022-09-14,1502.916329465271,1671.8179364341624,87.94100926328461,59.9999
40,0.02,,0.01,0.17,,,0.01,0.21,0.1,0.02,,0.02,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.04,0.07,0.01,0.02,0.01,0.01,0.02,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex17_01_realTimecourse_simul-40,2022-09-28,1503.2733504999499,1410.968223712699,93.8501153730395,59.9999
42,0.01,,0.02,0.09,,,,0.2,0.09,,,0.04,,0.06,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.02,0.02,,0.01,0.02,0.03,0.03,0.08,0.01,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,,,,,simul-42,simulation,Ex17_01_realTimecourse_simul-42,2022-10-12,1500.173628064074,1458.0238592559763,93.74979099087048,59.9999
45,,,,0.11,,,0.01,0.14,0.08,0.03,,,,0.09,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,0.02,0.04,,0.02,,,,,,,,0.02,,0.01,0.02,0.03,0.02,0.01,0.03,0.05,0.02,0.02,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex17_01_realTimecourse_simul-45,2022-11-02,1497.0650436411063,1448.3212157321573,91.6998294485503,59.9999
47,,,0.03,0.04,,,,0.14,0.06,0.02,,,,0.03,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.08,,,,,,,,,,,,0.02,0.02,0.04,0.04,0.05,0.07,0.06,,0.02,0.13,,,,,0.02,0.02,0.04,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex17_01_realTimecourse_simul-47,2022-11-16,1492.0453466207405,1635.383296376976,89.89733471558039,59.9998
49,,,0.02,0.02,,,,0.12,0.01,,,0.01,,0.06,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,0.02,0.01,,0.07,0.18,0.02,0.01,0.05,,0.02,,0.01,0.03,,0.02,0.02,0.02,0.01,,,0.01,0.01,,,,,0.01,0.01,0.01,0.02,0.02,,simul-49,simulation,Ex17_01_realTimecourse_simul-49,2022-11-30,1493.5708457345418,1734.1351061857983,91.74999163963481,59.9999
51,,,0.03,0.02,,,,0.05,,,,,,0.05,,0.11,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,0.01,0.01,,0.01,0.04,0.27,0.02,0.05,0.03,,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.01,0.03,,,,,,,,,,,simul-51,simulation,Ex17_01_realTimecourse_simul-51,2022-12-14,1498.927432030231,1554.6117954902859,88.4827609269973,59.9999
