timepoint,XBB.1.20,XBB.1.29,XBN,XBB.2.2,XBB.4,XBB.1.15,CA.2,BN.1.4.3,BM.5,BM.1.1.1,XBB.2.3.5,FY.4,XBB.2.3.11,XBB.1.28,XBB.3.4,XBB.2.3.6,XBB.1.16.2,XBB.1.36,FY.2,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,FT.1,XBB.1.25,XBB.1.22.2,XBB.1.5.59,XBB.1.5.40,XBB.1.5.58,EK.4,GA.2,XBB.1.5.43,XBB.1.34,XBB.1.5.23,XBB.1.5.2,EU.1,EK.3,XBB.2.3,XBB.1.5.62,XBB.1.38,XBB.3.3,XBB.1.11,BA.2.38.1,FL.4,FL.8,XBB.2.5,XBB.1.4.1,XBB.1.9,XBB,EL.1,FL.2.1,XBB.1.5.44,FY.1,XBB.1.9.3,EG.2,XBB.1.5.69,XBB.1.22,EG.4,FL.9,XBB.1.5.57,FL.10,XBB.1.9.5,XBB.1.5.16,XBB.1.5.63,XBB.1.5.11,XBB.1.9.4,XBB.1.5.34,XBB.6,AY.121,B.1.177.55,XBB.1.5.3,FE.1,EG.1.3,XBB.1.5.54,BN.1.3.10,XBB.1.9.1,XBB.1.5.21,XBB.1.5,BA.2.12.1,XBB.1.16.6,XBB.1.5.33,XBB.1.5.18,B.1.640.2,FU.1,XBB.1.16.1,XBB.1.16,BQ.1.1.35,BA.5.2.25,AY.43.8,B.1.177.83,B.1.1.367,BA.2.75.10,XBB.1.5.47,CH.1.1.17,XBB.1.5.35,B.1.1.54,XBP,BQ.1.2.2,BQ.1.1.59,CH.1.1.26,XBB.1.5.14,B.1.470,BA.1.18,B.1.210,BF.24,AY.63,B.1.8,BA.4.8,others,sample_name,tool_name
274,,,,,,,,,,,0.01,,0.02,,,0.01,,,,,0.2,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,0.01,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,0.01,,,,,,,,,,,0.04,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,,0.36,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,0.01,,0.01,,,,,,,0.01,0.01,,,0.24,,0.02,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.02,,,,,,,,,,0.49,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.66,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.04,,,,,,0.7,,,,,,,,,,,,,,,,,0.04,,,0.01,,,0.16,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,0.02,,0.3,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.08,0.01,,,,,0.16,,,0.02,,,,0.25,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.54,0.01,,,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,0.26,,,,,0.02,,0.23,,0.05,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,0.01,,,0.11,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.31,vlq_vd04ad36-92,vlq_vd04ad36
