timepoint,BA.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2.3,BA.2.9,B.1.1.529,BA.1.18,BA.2.75.1,BA.4.1,BA.5.1.22,BA.5.1.23,BE.1,BE.1.1.2,BQ.1,BQ.1.1.23,XBF,BA.2.12.1,BA.5.2.20,BA.5.2.26,BA.5.2.3,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.1,BN.1.3.3,BQ.1.1,CH.1.1,XBB.1,BA.2.56,BA.4,BA.5.3,BE.1.4,BF.1,AY.43,AY.46.6,B.1.617.2,BA.1.20,BA.5.1.5,BQ.1.5,XBB.2,BA.5.5,BF.12,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,BA.4.1.2,BN.2,BA.2.36,BA.2.75.2,BA.5.1.30,BF.7.19,BQ.1.1.7,BQ.1.10,BA.5.1.2,BM.1.1,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,,,0.28,0.17,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.01,,,,,0.01,,,,,,,,,,,,,,0.03,0.02,,0.01,0.04,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,simul-29,simulation,Ex19_01_realTimecourse_simul-29,2022-07-13,1502.8267732334548,1970.2727159716153,79.57729993646122,59.9999
31,0.06,,,,0.03,0.22,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,,,0.02,,,,,,0.01,,,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex19_01_realTimecourse_simul-31,2022-07-27,1499.2010835033275,2169.3307228638564,72.75189780289602,60
34,0.02,,,,0.07,0.2,,0.19,0.14,,,,,0.08,0.12,0.01,0.03,,,,,,,,,,,,,,,,,0.02,,0.02,0.01,0.02,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,simul-34,simulation,Ex19_01_realTimecourse_simul-34,2022-08-17,1502.1324950673845,2104.080360514444,74.1062769621777,59.9999
36,0.02,,,0.01,0.02,0.19,,0.26,0.17,,,,,0.06,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex19_01_realTimecourse_simul-36,2022-08-31,1499.6264254422633,2507.070933253294,75.28676052569976,60
38,,,,0.02,0.02,0.18,,0.26,0.1,0.01,,,0.03,0.05,0.13,0.01,0.03,,,,,,,,,,,,,,,,,0.02,,,0.01,0.01,0.01,,,,,0.02,0.02,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,simul-38,simulation,Ex19_01_realTimecourse_simul-38,2022-09-14,1501.0731030331406,2249.5147529881497,75.01922883991573,59.9999
40,0.02,0.07,0.07,0.01,0.01,0.17,,0.21,0.1,,0.01,0.01,0.02,0.02,0.03,0.03,0.04,,0.02,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.04,0.02,,,,,,,simul-40,simulation,Ex19_01_realTimecourse_simul-40,2022-09-28,1498.1672741865364,2055.8105897758505,77.60090960773167,59.9999
42,0.01,0.14,0.02,0.02,0.02,0.09,0.01,0.2,0.09,0.02,0.01,0.02,0.03,0.04,0.06,0.02,0.03,0.02,0.03,0.08,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex19_01_realTimecourse_simul-42,2022-10-12,1499.8928201183828,1942.366616205774,78.24632979968565,59.9999
45,,0.01,,0.01,,0.11,,0.14,0.08,0.02,,0.02,0.04,,0.09,0.03,0.1,,,0.02,0.03,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,0.01,,0.02,,,0.02,0.01,0.05,0.02,0.05,,,,,,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex19_01_realTimecourse_simul-45,2022-11-02,1500.278533926362,2542.2283451009216,71.80216031836271,60
47,,0.02,,,0.03,0.04,,0.14,0.06,,,,0.08,,0.03,,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,0.07,,,,0.02,,,0.02,0.02,0.02,0.02,0.04,0.04,0.05,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex19_01_realTimecourse_simul-47,2022-11-16,1492.6954820586564,2347.7815782157886,73.2434872755242,60
49,,,,,0.02,0.02,,0.12,0.01,,,,0.01,0.01,0.06,0.01,0.11,,,,0.02,,,,,,,,,,,,,,,,,,,0.07,,0.01,,,,,,0.03,0.01,,0.02,0.01,,0.18,0.01,0.05,,,,,,,,,,,0.02,,,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,,,,,,,,,,,,simul-49,simulation,Ex19_01_realTimecourse_simul-49,2022-11-30,1506.2049292713107,2353.582929290916,70.91930575527539,59.9999
51,,0.02,,,0.03,0.02,,0.05,,,,,0.01,,0.05,,0.11,,,,0.01,,,,,,,,,,,,,,,,,,,0.04,,0.03,,,,,,0.02,0.01,0.01,0.02,,0.01,0.27,0.05,0.03,,,,,,,,,,,0.02,,,,,0.02,,,0.02,0.02,0.02,0.02,,,0.01,,,,,,0.02,0.02,0.04,,,,simul-51,simulation,Ex19_01_realTimecourse_simul-51,2022-12-14,1495.5895395110858,2102.389291495444,67.8326589305421,59.9999
