timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.15,,,,,0.85,virpool_v763c212-1,virpool_v763c212
3,0.06,,,,,0.94,virpool_v763c212-3,virpool_v763c212
5,0.08,,0.08,,,0.84,virpool_v763c212-5,virpool_v763c212
7,0.2,,,0.31,,0.5,virpool_v763c212-7,virpool_v763c212
9,0.04,,,,,0.96,virpool_v763c212-9,virpool_v763c212
12,,,,,,1.0,virpool_v763c212-12,virpool_v763c212
14,0.15,,,,,0.85,virpool_v763c212-14,virpool_v763c212
16,0.12,,0.31,,,0.58,virpool_v763c212-16,virpool_v763c212
18,0.2,,,,,0.8,virpool_v763c212-18,virpool_v763c212
20,0.22,,,,,0.78,virpool_v763c212-20,virpool_v763c212
23,0.46,,0.11,0.07,0.04,0.32,virpool_v763c212-23,virpool_v763c212
25,0.16,,0.23,,,0.62,virpool_v763c212-25,virpool_v763c212
27,,,0.06,,,0.94,virpool_v763c212-27,virpool_v763c212
29,,,,,,1.0,virpool_v763c212-29,virpool_v763c212
31,0.03,,,,,0.97,virpool_v763c212-31,virpool_v763c212
34,0.13,,,,,0.87,virpool_v763c212-34,virpool_v763c212
36,,,,,,1.0,virpool_v763c212-36,virpool_v763c212
38,0.08,0.12,,,,0.8,virpool_v763c212-38,virpool_v763c212
40,0.16,,,,0.02,0.82,virpool_v763c212-40,virpool_v763c212
42,0.42,,,,,0.58,virpool_v763c212-42,virpool_v763c212
45,,,,,,1.0,virpool_v763c212-45,virpool_v763c212
47,,,,,0.03,0.97,virpool_v763c212-47,virpool_v763c212
49,,,,,,1.0,virpool_v763c212-49,virpool_v763c212
51,0.2,,0.07,,0.13,0.61,virpool_v763c212-51,virpool_v763c212
