timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.15,,,,,0.85,virpool-1,virpool
3,0.06,,,,,0.94,virpool-3,virpool
5,0.08,,0.08,,,0.84,virpool-5,virpool
7,0.2,,,0.31,,0.5,virpool-7,virpool
9,0.04,,,,,0.96,virpool-9,virpool
12,,,,,,1.0,virpool-12,virpool
14,0.15,,,,,0.85,virpool-14,virpool
16,0.12,,0.31,,,0.58,virpool-16,virpool
18,0.2,,,,,0.8,virpool-18,virpool
20,0.22,,,,,0.78,virpool-20,virpool
23,0.46,,0.11,0.07,0.04,0.32,virpool-23,virpool
25,0.16,,0.23,,,0.62,virpool-25,virpool
27,,,0.06,,,0.94,virpool-27,virpool
29,,,,,,1.0,virpool-29,virpool
31,0.03,,,,,0.97,virpool-31,virpool
34,0.13,,,,,0.87,virpool-34,virpool
36,,,,,,1.0,virpool-36,virpool
38,0.08,0.12,,,,0.8,virpool-38,virpool
40,0.16,,,,0.02,0.82,virpool-40,virpool
42,0.42,,,,,0.58,virpool-42,virpool
45,,,,,,1.0,virpool-45,virpool
47,,,,,0.03,0.97,virpool-47,virpool
49,,,,,,1.0,virpool-49,virpool
51,0.2,,0.07,,0.13,0.61,virpool-51,virpool
