timepoint,XBB.1.5,XBB.2.3,others,XBB.1.16,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,,0.98,Ex28_03_nearQual_simul-1,2023-01-02,1346.38,3543.03,30.7,60.0,simulation-1,simulation
16,,,0.02,,0.98,Ex28_03_nearQual_simul-16,2023-01-17,1504.26,3987.54,39.01,60.0,simulation-16,simulation
31,,,0.02,,0.98,Ex28_03_nearQual_simul-31,2023-02-01,1468.07,4544.93,34.29,60.0,simulation-31,simulation
46,,,0.02,,0.98,Ex28_03_nearQual_simul-46,2023-02-16,1495.44,4160.42,39.51,60.0,simulation-46,simulation
61,,,0.02,,0.98,Ex28_03_nearQual_simul-61,2023-03-03,1492.47,3606.94,37.25,60.0,simulation-61,simulation
77,0.01,,0.02,,0.97,Ex28_03_nearQual_simul-77,2023-03-19,1461.22,4179.7,39.6,60.0,simulation-77,simulation
92,0.16,,0.02,,0.82,Ex28_03_nearQual_simul-92,2023-04-03,1118.15,5273.54,29.86,60.0,simulation-92,simulation
107,0.78,,0.02,,0.2,Ex28_03_nearQual_simul-107,2023-04-18,1453.76,3276.26,42.79,60.0,simulation-107,simulation
122,0.97,,0.02,,0.01,Ex28_03_nearQual_simul-122,2023-05-03,1499.35,3738.61,41.27,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex28_03_nearQual_simul-137,2023-05-18,1493.89,3324.52,41.32,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex28_03_nearQual_simul-153,2023-06-03,834.74,1993.62,38.26,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex28_03_nearQual_simul-168,2023-06-18,1471.27,3766.42,45.45,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex28_03_nearQual_simul-183,2023-07-03,1496.47,4113.84,46.2,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex28_03_nearQual_simul-198,2023-07-18,1500.85,5106.31,38.97,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex28_03_nearQual_simul-213,2023-08-02,1452.24,4331.5,38.9,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex28_03_nearQual_simul-229,2023-08-18,1491.51,3997.35,43.33,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex28_03_nearQual_simul-244,2023-09-02,1451.79,4472.31,38.87,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex28_03_nearQual_simul-259,2023-09-17,1503.29,5384.96,33.34,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex28_03_nearQual_simul-274,2023-10-02,1500.35,4047.5,41.55,60.0,simulation-274,simulation
289,,0.88,0.02,0.1,,Ex28_03_nearQual_simul-289,2023-10-17,1501.43,4221.14,36.43,60.0,simulation-289,simulation
305,,0.27,0.02,0.71,,Ex28_03_nearQual_simul-305,2023-11-02,1502.96,5346.77,37.79,60.0,simulation-305,simulation
320,,0.02,0.02,0.96,,Ex28_03_nearQual_simul-320,2023-11-17,1501.49,4155.68,33.04,60.0,simulation-320,simulation
335,,,0.02,0.98,,Ex28_03_nearQual_simul-335,2023-12-02,1504.17,4826.11,37.88,60.0,simulation-335,simulation
350,,,0.02,0.98,,Ex28_03_nearQual_simul-350,2023-12-17,1501.77,4306.07,41.72,60.0,simulation-350,simulation
366,,,0.02,0.98,,Ex28_03_nearQual_simul-366,2024-01-02,1505.08,3817.72,36.25,60.0,simulation-366,simulation
