timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,,,,,1.0,virpool_v763c212-1,virpool_v763c212
16,,0.2,,,0.21,0.58,virpool_v763c212-16,virpool_v763c212
31,0.12,0.3,,,,0.59,virpool_v763c212-31,virpool_v763c212
46,0.01,,,,,0.99,virpool_v763c212-46,virpool_v763c212
61,,,,,,1.0,virpool_v763c212-61,virpool_v763c212
77,0.08,,,,,0.92,virpool_v763c212-77,virpool_v763c212
92,0.02,,0.09,,,0.89,virpool_v763c212-92,virpool_v763c212
107,0.17,0.42,,0.06,,0.34,virpool_v763c212-107,virpool_v763c212
122,,,,,,1.0,virpool_v763c212-122,virpool_v763c212
137,0.18,0.05,,,,0.77,virpool_v763c212-137,virpool_v763c212
153,,,,,,1.0,virpool_v763c212-153,virpool_v763c212
168,0.05,0.02,0.32,,,0.61,virpool_v763c212-168,virpool_v763c212
183,0.03,,,,,0.97,virpool_v763c212-183,virpool_v763c212
198,,,,,,1.0,virpool_v763c212-198,virpool_v763c212
213,,,,,,1.0,virpool_v763c212-213,virpool_v763c212
229,0.05,,,0.23,,0.72,virpool_v763c212-229,virpool_v763c212
244,,,,,,1.0,virpool_v763c212-244,virpool_v763c212
259,,,,,,1.0,virpool_v763c212-259,virpool_v763c212
274,,,,,,1.0,virpool_v763c212-274,virpool_v763c212
289,0.16,,,,,0.84,virpool_v763c212-289,virpool_v763c212
305,,,,,,1.0,virpool_v763c212-305,virpool_v763c212
320,,,,,,1.0,virpool_v763c212-320,virpool_v763c212
335,0.05,0.28,0.29,,,0.37,virpool_v763c212-335,virpool_v763c212
350,0.21,0.1,,,,0.69,virpool_v763c212-350,virpool_v763c212
366,,,,,,1.0,virpool_v763c212-366,virpool_v763c212
