timepoint,XBB,XBB.1,XBB.1.5,XBB.1.9,XBB.1.9.1,XBB.2.3,others,sample_name,tool_name
61,0.06,,,0.91,,,0.03,vaquero_v24d9211-61,vaquero_v24d9211
107,0.03,0.1,0.87,,,,0.0,vaquero_v24d9211-107,vaquero_v24d9211
229,,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
305,0.1,0.1,,,0.77,,0.03,vaquero_v24d9211-305,vaquero_v24d9211
