timepoint,B.1.617.2,others,B.1.351,P.1,B.1.1.7,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,0.02,,,0.98,simul-1,simulation,Ex13_02_WideQual_simul-1,2023-01-02,1501.0821322275358,2414.014138995349,66.55185098485101,59.9998
16,,0.02,,,0.98,simul-16,simulation,Ex13_02_WideQual_simul-16,2023-01-17,1504.8234625288433,2454.035269791274,63.946761194528975,60
31,,0.02,0.0024,,0.9776,simul-31,simulation,Ex13_02_WideQual_simul-31,2023-02-01,1501.7406280306325,2275.9560141810202,70.02641875397117,59.9999
46,,0.02,0.0024,,0.9776,simul-46,simulation,Ex13_02_WideQual_simul-46,2023-02-16,1506.474467444738,2584.9011825882435,59.61274788482761,59.9999
61,,0.02,0.0028000000000000004,,0.9772,simul-61,simulation,Ex13_02_WideQual_simul-61,2023-03-03,1506.2444570778853,2933.467127040348,61.33498311206233,59.9998
77,,0.02,0.012,,0.968,simul-77,simulation,Ex13_02_WideQual_simul-77,2023-03-19,1506.669431160753,3178.8972811016242,64.25107848710832,59.9999
92,,0.02,0.16449999999999998,,0.8155,simul-92,simulation,Ex13_02_WideQual_simul-92,2023-04-03,1502.6263251178812,2375.894438198945,75.96896632444906,59.9998
107,,0.02,0.7842,,0.19579999999999997,simul-107,simulation,Ex13_02_WideQual_simul-107,2023-04-18,1504.915861284821,3224.0089002276045,60.72634852690365,59.9999
122,,0.02,0.968,,0.012,simul-122,simulation,Ex13_02_WideQual_simul-122,2023-05-03,1504.1466073638096,2855.2476624175115,67.97645721165101,59.9995
137,,0.02,0.9793999999999999,,0.0006,simul-137,simulation,Ex13_02_WideQual_simul-137,2023-05-18,1498.2966591980737,2746.941026972192,61.17780824666421,59.9998
153,,0.02,0.9799,0.0001,,simul-153,simulation,Ex13_02_WideQual_simul-153,2023-06-03,1499.2625489081363,2171.782399345131,67.9731130655787,59.9999
168,,0.02,0.9776,0.0024,,simul-168,simulation,Ex13_02_WideQual_simul-168,2023-06-18,1500.720028090827,2602.0746098131553,58.161388489449216,59.9998
183,,0.02,0.9342,0.0458,,simul-183,simulation,Ex13_02_WideQual_simul-183,2023-07-03,1502.7656088017925,2415.801401553969,65.42487375848577,59.9999
198,,0.02,0.4938,0.48619999999999997,,simul-198,simulation,Ex13_02_WideQual_simul-198,2023-07-18,1502.906932414808,2446.4296367619786,61.95030598936562,60
213,,0.02,0.0472,0.9328,,simul-213,simulation,Ex13_02_WideQual_simul-213,2023-08-02,1494.7868441293515,3164.6854673403145,65.04364110624353,59.9999
229,,0.02,0.002,0.978,,simul-229,simulation,Ex13_02_WideQual_simul-229,2023-08-18,1498.8214225997392,3175.236558063897,64.56208407183226,59.9999
244,,0.02,0.0001,0.9799,,simul-244,simulation,Ex13_02_WideQual_simul-244,2023-09-02,1502.9339865565328,3176.2617764451506,67.85272380697589,59.9999
259,0.0003,0.02,,0.9797,,simul-259,simulation,Ex13_02_WideQual_simul-259,2023-09-17,1495.9014145737885,2652.4840204122333,64.63565528542287,59.9999
274,0.0053,0.02,,0.9747,,simul-274,simulation,Ex13_02_WideQual_simul-274,2023-10-02,1505.4435340935693,2810.8212419012098,59.33518376082667,59.9999
289,0.0964,0.02,,0.8835999999999999,,simul-289,simulation,Ex13_02_WideQual_simul-289,2023-10-17,1497.92275022573,2691.5201591587265,62.495401799150585,59.9998
305,0.7134,0.02,,0.2666,,simul-305,simulation,Ex13_02_WideQual_simul-305,2023-11-02,1499.1563722703409,2545.399552941519,68.11022305454301,59.9999
320,0.9621,0.02,,0.0179,,simul-320,simulation,Ex13_02_WideQual_simul-320,2023-11-17,1504.507541049393,2881.6275256952754,62.45861619235529,59.9999
335,0.9791,0.02,,0.0009,,simul-335,simulation,Ex13_02_WideQual_simul-335,2023-12-02,1500.6271611543991,3086.479493453361,59.796675918804134,59.9999
350,0.98,0.02,,,,simul-350,simulation,Ex13_02_WideQual_simul-350,2023-12-17,1501.2162993679565,3128.312491516496,63.71935926161255,59.9999
366,0.98,0.02,,,,simul-366,simulation,Ex13_02_WideQual_simul-366,2024-01-02,1502.8972678326588,2523.4887721403506,65.50847741029328,59.9999
