timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.98,0.97,0.0,quaid_vaec47270-1,quaid_vaec47270
16,0.98,0.97,0.0,quaid_vaec47270-16,quaid_vaec47270
31,0.97,,0.03,quaid_vaec47270-31,quaid_vaec47270
46,0.99,,0.01,quaid_vaec47270-46,quaid_vaec47270
61,0.98,,0.02,quaid_vaec47270-61,quaid_vaec47270
77,0.98,,0.02,quaid_vaec47270-77,quaid_vaec47270
92,0.17,,0.83,quaid_vaec47270-92,quaid_vaec47270
107,0.8,,0.2,quaid_vaec47270-107,quaid_vaec47270
122,0.58,,0.42,quaid_vaec47270-122,quaid_vaec47270
168,0.95,,0.05,quaid_vaec47270-168,quaid_vaec47270
183,0.94,,0.06,quaid_vaec47270-183,quaid_vaec47270
198,0.52,,0.48,quaid_vaec47270-198,quaid_vaec47270
213,0.05,,0.95,quaid_vaec47270-213,quaid_vaec47270
289,0.1,,0.9,quaid_vaec47270-289,quaid_vaec47270
305,0.71,,0.29,quaid_vaec47270-305,quaid_vaec47270
320,0.97,,0.03,quaid_vaec47270-320,quaid_vaec47270
366,0.45,,0.55,quaid_vaec47270-366,quaid_vaec47270
