timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,,0.92,0.08,quaid_vaec47270-1,quaid_vaec47270
16,0.98,0.98,0.0,quaid_vaec47270-16,quaid_vaec47270
31,0.98,,0.02,quaid_vaec47270-31,quaid_vaec47270
46,0.97,,0.03,quaid_vaec47270-46,quaid_vaec47270
61,0.96,,0.04,quaid_vaec47270-61,quaid_vaec47270
92,0.12,,0.88,quaid_vaec47270-92,quaid_vaec47270
107,0.54,,0.46,quaid_vaec47270-107,quaid_vaec47270
168,0.97,,0.03,quaid_vaec47270-168,quaid_vaec47270
183,0.92,,0.08,quaid_vaec47270-183,quaid_vaec47270
244,0.04,,0.96,quaid_vaec47270-244,quaid_vaec47270
274,0.47,,0.53,quaid_vaec47270-274,quaid_vaec47270
335,0.98,,0.02,quaid_vaec47270-335,quaid_vaec47270
350,0.96,,0.04,quaid_vaec47270-350,quaid_vaec47270
