timepoint,B.1.1.7,B.1.351,others,P.1,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,,0.02,,,simul-1,simulation,Ex13_01_WideQual_simul-1,2023-01-02,1504.6619402735512,3047.237785105355,61.689462595726184,59.9998
16,0.98,,0.02,,,simul-16,simulation,Ex13_01_WideQual_simul-16,2023-01-17,1504.2551917867772,2355.297162600355,61.45537237066515,59.9999
31,0.9776,0.0024,0.02,,,simul-31,simulation,Ex13_01_WideQual_simul-31,2023-02-01,1501.5778015583721,2209.842500229183,67.59188041333645,59.9997
46,0.9776,0.0024,0.02,,,simul-46,simulation,Ex13_01_WideQual_simul-46,2023-02-16,1506.4555061365081,2419.500586658725,66.81938267063505,59.9999
61,0.9772,0.0028000000000000004,0.02,,,simul-61,simulation,Ex13_01_WideQual_simul-61,2023-03-03,1505.1206233488278,2705.031637780033,64.38484433000033,59.9999
77,0.968,0.012,0.02,,,simul-77,simulation,Ex13_01_WideQual_simul-77,2023-03-19,1499.756479283015,2386.241365862397,63.458515867973105,59.9998
92,0.8155,0.16449999999999998,0.02,,,simul-92,simulation,Ex13_01_WideQual_simul-92,2023-04-03,1502.2235561649334,2658.4964027599563,67.1437648396482,60
107,0.19579999999999997,0.7842,0.02,,,simul-107,simulation,Ex13_01_WideQual_simul-107,2023-04-18,1501.2497408286795,2601.6691170349327,68.33762498745945,59.9999
122,0.012,0.968,0.02,,,simul-122,simulation,Ex13_01_WideQual_simul-122,2023-05-03,1505.99167307628,2772.869384337827,60.301641975721495,59.9999
137,0.0006,0.9793999999999999,0.02,,,simul-137,simulation,Ex13_01_WideQual_simul-137,2023-05-18,1505.3228104203592,2843.899464391222,62.428518877704576,59.9999
153,,0.9799,0.02,0.0001,,simul-153,simulation,Ex13_01_WideQual_simul-153,2023-06-03,1503.56198374745,2715.8752742617316,61.54566431461726,59.9999
168,,0.9776,0.02,0.0024,,simul-168,simulation,Ex13_01_WideQual_simul-168,2023-06-18,1506.9836471257065,3456.250390493811,62.87997859746513,59.9999
183,,0.9342,0.02,0.0458,,simul-183,simulation,Ex13_01_WideQual_simul-183,2023-07-03,1502.8795772999365,3105.255884851669,64.61893455506137,60
198,,0.4938,0.02,0.48619999999999997,,simul-198,simulation,Ex13_01_WideQual_simul-198,2023-07-18,1501.1991438986056,2575.7085540067487,64.49520115038625,59.9999
213,,0.0472,0.02,0.9328,,simul-213,simulation,Ex13_01_WideQual_simul-213,2023-08-02,1502.9252917767449,2435.147749248132,63.30802929471959,59.9999
229,,0.002,0.02,0.978,,simul-229,simulation,Ex13_01_WideQual_simul-229,2023-08-18,1500.6189011136007,2804.5763450926147,58.67638698458349,59.9998
244,,0.0001,0.02,0.9799,,simul-244,simulation,Ex13_01_WideQual_simul-244,2023-09-02,1502.0068220579874,2202.542810952438,71.09654549710731,60
259,,,0.02,0.9797,0.0003,simul-259,simulation,Ex13_01_WideQual_simul-259,2023-09-17,1497.30110691235,2529.8653856417027,67.68217235728856,59.9999
274,,,0.02,0.9747,0.0053,simul-274,simulation,Ex13_01_WideQual_simul-274,2023-10-02,1504.280841387152,2527.675588836307,65.6756847139083,59.9999
289,,,0.02,0.8835999999999999,0.0964,simul-289,simulation,Ex13_01_WideQual_simul-289,2023-10-17,1508.5219208775038,2584.095732846854,63.348159047587195,59.9999
305,,,0.02,0.2666,0.7134,simul-305,simulation,Ex13_01_WideQual_simul-305,2023-11-02,1499.821556365582,2445.648651556864,66.17396247868108,59.9999
320,,,0.02,0.0179,0.9621,simul-320,simulation,Ex13_01_WideQual_simul-320,2023-11-17,1502.6235160351805,2638.560277618135,64.84299234190549,60
335,,,0.02,0.0009,0.9791,simul-335,simulation,Ex13_01_WideQual_simul-335,2023-12-02,1499.6300705614822,2630.3539490708918,66.57191586128482,59.9999
350,,,0.02,,0.98,simul-350,simulation,Ex13_01_WideQual_simul-350,2023-12-17,1499.824332006822,2836.5733713192403,61.56238504497876,59.9999
366,,,0.02,,0.98,simul-366,simulation,Ex13_01_WideQual_simul-366,2024-01-02,1504.3008393806642,2636.2677406038983,60.87683510015718,59.9999
