timepoint,XBB.1.9,XBB.1.5,others,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex23_02_nearQual_simul-1,2023-01-02,1469.82,1159.89,96.48,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex23_02_nearQual_simul-16,2023-01-17,1448.48,1112.91,95.4,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex23_02_nearQual_simul-31,2023-02-01,1475.25,1198.39,94.71,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex23_02_nearQual_simul-46,2023-02-16,1464.59,1260.28,94.85,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex23_02_nearQual_simul-61,2023-03-03,1468.37,1146.08,94.85,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex23_02_nearQual_simul-77,2023-03-19,1465.12,1172.84,93.97,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex23_02_nearQual_simul-92,2023-04-03,1459.13,1304.55,94.21,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex23_02_nearQual_simul-107,2023-04-18,1473.89,1257.87,95.64,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex23_02_nearQual_simul-122,2023-05-03,1469.82,1107.65,96.25,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex23_02_nearQual_simul-137,2023-05-18,1474.13,1216.2,96.21,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex23_02_nearQual_simul-153,2023-06-03,1478.14,1201.61,93.98,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex23_02_nearQual_simul-168,2023-06-18,1481.01,1274.91,94.65,60.0,simulation-168,simulation
183,,0.93,0.02,0.05,,Ex23_02_nearQual_simul-183,2023-07-03,1487.29,1362.27,94.79,60.0,simulation-183,simulation
198,,0.49,0.02,0.49,,Ex23_02_nearQual_simul-198,2023-07-18,1481.0,1183.47,93.86,60.0,simulation-198,simulation
213,,0.05,0.02,0.93,,Ex23_02_nearQual_simul-213,2023-08-02,1480.81,1180.99,96.65,60.0,simulation-213,simulation
229,,,0.02,0.98,,Ex23_02_nearQual_simul-229,2023-08-18,1469.38,1205.89,95.81,60.0,simulation-229,simulation
244,,,0.02,0.98,,Ex23_02_nearQual_simul-244,2023-09-02,1459.27,1213.36,96.44,60.0,simulation-244,simulation
259,,,0.02,0.98,,Ex23_02_nearQual_simul-259,2023-09-17,1459.98,1113.3,96.91,60.0,simulation-259,simulation
274,,,0.03,0.97,,Ex23_02_nearQual_simul-274,2023-10-02,1471.28,1370.72,94.31,60.0,simulation-274,simulation
289,,,0.02,0.88,0.1,Ex23_02_nearQual_simul-289,2023-10-17,1472.05,1015.93,96.75,60.0,simulation-289,simulation
305,,,0.02,0.27,0.71,Ex23_02_nearQual_simul-305,2023-11-02,1471.23,1163.46,96.3,60.0,simulation-305,simulation
320,,,0.02,0.02,0.96,Ex23_02_nearQual_simul-320,2023-11-17,1447.65,1190.36,95.09,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex23_02_nearQual_simul-335,2023-12-02,1486.99,1261.0,94.87,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex23_02_nearQual_simul-350,2023-12-17,1470.5,1232.15,94.55,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex23_02_nearQual_simul-366,2024-01-02,1476.74,1248.07,95.4,60.0,simulation-366,simulation
