timepoint,B.1.1.7,B.1.351,others,P.1,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,,0.02,,,simul-1,simulation,Ex11_03_WideQual_simul-1,2023-01-02,1499.7302277363476,2026.596805143933,87.69019830786209,60
16,0.98,,0.02,,,simul-16,simulation,Ex11_03_WideQual_simul-16,2023-01-17,1506.198475069391,1601.024819413527,87.26549175667994,60
31,0.9776,0.0024,0.02,,,simul-31,simulation,Ex11_03_WideQual_simul-31,2023-02-01,1501.0319031535298,1760.2197352429762,82.68066749155602,59.9999
46,0.9776,0.0024,0.02,,,simul-46,simulation,Ex11_03_WideQual_simul-46,2023-02-16,1501.1084506571246,1925.5500479954064,85.91111259739826,59.9999
61,0.9772,0.0028000000000000004,0.02,,,simul-61,simulation,Ex11_03_WideQual_simul-61,2023-03-03,1503.38899107113,1586.1890585587628,84.96806340500953,60
77,0.968,0.012,0.02,,,simul-77,simulation,Ex11_03_WideQual_simul-77,2023-03-19,1498.1637293917,1702.7034935331137,81.80450122061332,59.9999
92,0.8155,0.16449999999999998,0.02,,,simul-92,simulation,Ex11_03_WideQual_simul-92,2023-04-03,1500.675484065144,1658.9976864421499,88.84727284887803,59.9999
107,0.19579999999999997,0.7842,0.02,,,simul-107,simulation,Ex11_03_WideQual_simul-107,2023-04-18,1502.1884091897134,1678.9195702493962,82.89803698625556,59.9999
122,0.012,0.968,0.02,,,simul-122,simulation,Ex11_03_WideQual_simul-122,2023-05-03,1504.3986556532789,1625.110639459083,86.86419422800388,59.9999
137,0.0006,0.9793999999999999,0.02,,,simul-137,simulation,Ex11_03_WideQual_simul-137,2023-05-18,1503.3387954385848,1786.5677367502478,84.03839079691001,60
153,,0.9799,0.02,0.0001,,simul-153,simulation,Ex11_03_WideQual_simul-153,2023-06-03,1506.4366451526603,1848.8158359452495,86.47627328361703,59.9999
168,,0.9776,0.02,0.0024,,simul-168,simulation,Ex11_03_WideQual_simul-168,2023-06-18,1505.5657960739725,1691.0795211055083,86.74380496940105,59.9999
183,,0.9342,0.02,0.0458,,simul-183,simulation,Ex11_03_WideQual_simul-183,2023-07-03,1502.1344346721064,1671.8976198859377,87.7771461057419,59.9999
198,,0.4938,0.02,0.48619999999999997,,simul-198,simulation,Ex11_03_WideQual_simul-198,2023-07-18,1500.1706517740695,1700.301193777355,85.496438484433,59.9999
213,,0.0472,0.02,0.9328,,simul-213,simulation,Ex11_03_WideQual_simul-213,2023-08-02,1502.7900879510416,1728.059894150699,81.28281443333445,59.9998
229,,0.002,0.02,0.978,,simul-229,simulation,Ex11_03_WideQual_simul-229,2023-08-18,1505.7923619703708,1566.736237028476,92.19141892117848,59.9999
244,,0.0001,0.02,0.9799,,simul-244,simulation,Ex11_03_WideQual_simul-244,2023-09-02,1503.247266160586,2134.0870932589432,85.00484901180484,59.9998
259,,,0.02,0.9797,0.0003,simul-259,simulation,Ex11_03_WideQual_simul-259,2023-09-17,1502.083302678661,1783.93381067327,86.66688960973815,59.9999
274,,,0.02,0.9747,0.0053,simul-274,simulation,Ex11_03_WideQual_simul-274,2023-10-02,1502.6418753971172,2093.0657551773365,85.4897501922884,59.9999
289,,,0.02,0.8835999999999999,0.0964,simul-289,simulation,Ex11_03_WideQual_simul-289,2023-10-17,1501.4906531117279,1635.195307121813,85.09179680968465,59.9998
305,,,0.02,0.2666,0.7134,simul-305,simulation,Ex11_03_WideQual_simul-305,2023-11-02,1500.5119553222085,1984.9960651563622,84.89114804534663,59.9999
320,,,0.02,0.0179,0.9621,simul-320,simulation,Ex11_03_WideQual_simul-320,2023-11-17,1504.7352105139953,2017.3654980656486,85.27572484366117,59.9999
335,,,0.02,0.0009,0.9791,simul-335,simulation,Ex11_03_WideQual_simul-335,2023-12-02,1504.9699361268101,1677.080377182746,84.82426512390062,59.9999
350,,,0.02,,0.98,simul-350,simulation,Ex11_03_WideQual_simul-350,2023-12-17,1508.050563488613,1765.5647129800388,85.74390529378323,59.9999
366,,,0.02,,0.98,simul-366,simulation,Ex11_03_WideQual_simul-366,2024-01-02,1504.4236698658997,2007.0130140493666,83.63709326823395,59.9999
