timepoint,B.1.1.529,others,sample_name,tool_name
16,0.18,0.82,quaid_vaec47270-16,quaid_vaec47270
31,0.2,0.8,quaid_vaec47270-31,quaid_vaec47270
61,0.32,0.68,quaid_vaec47270-61,quaid_vaec47270
92,0.98,0.02,quaid_vaec47270-92,quaid_vaec47270
122,1.0,0.0,quaid_vaec47270-122,quaid_vaec47270
137,0.05,0.95,quaid_vaec47270-137,quaid_vaec47270
153,0.98,0.02,quaid_vaec47270-153,quaid_vaec47270
198,0.97,0.03,quaid_vaec47270-198,quaid_vaec47270
213,0.98,0.02,quaid_vaec47270-213,quaid_vaec47270
229,0.52,0.48,quaid_vaec47270-229,quaid_vaec47270
244,0.02,0.98,quaid_vaec47270-244,quaid_vaec47270
259,0.97,0.03,quaid_vaec47270-259,quaid_vaec47270
289,0.98,0.02,quaid_vaec47270-289,quaid_vaec47270
305,0.98,0.02,quaid_vaec47270-305,quaid_vaec47270
335,0.98,0.02,quaid_vaec47270-335,quaid_vaec47270
350,0.98,0.02,quaid_vaec47270-350,quaid_vaec47270
