timepoint,XBB.1.5,XBB.2.3,others,XBB.1.16,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,,0.98,Ex26_02_nearQual_simul-1,2023-01-02,1477.54,2379.75,71.45,60.0,simulation-1,simulation
16,,,0.02,,0.98,Ex26_02_nearQual_simul-16,2023-01-17,1459.6,2120.15,69.75,60.0,simulation-16,simulation
31,,,0.02,,0.98,Ex26_02_nearQual_simul-31,2023-02-01,1468.1,2380.1,72.03,60.0,simulation-31,simulation
46,,,0.02,,0.98,Ex26_02_nearQual_simul-46,2023-02-16,1455.59,2187.98,71.74,60.0,simulation-46,simulation
61,,,0.02,,0.98,Ex26_02_nearQual_simul-61,2023-03-03,1483.92,2361.8,70.84,60.0,simulation-61,simulation
77,0.01,,0.02,,0.97,Ex26_02_nearQual_simul-77,2023-03-19,1501.99,2229.1,75.09,60.0,simulation-77,simulation
92,0.16,,0.02,,0.82,Ex26_02_nearQual_simul-92,2023-04-03,1493.08,2649.38,69.78,60.0,simulation-92,simulation
107,0.78,,0.02,,0.2,Ex26_02_nearQual_simul-107,2023-04-18,1490.17,3103.89,72.16,60.0,simulation-107,simulation
122,0.97,,0.02,,0.01,Ex26_02_nearQual_simul-122,2023-05-03,1392.66,2014.67,73.45,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex26_02_nearQual_simul-137,2023-05-18,1348.08,1940.35,73.27,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex26_02_nearQual_simul-153,2023-06-03,1494.28,2537.38,71.65,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex26_02_nearQual_simul-168,2023-06-18,1494.85,2288.11,75.55,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex26_02_nearQual_simul-183,2023-07-03,1488.1,2276.97,73.14,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex26_02_nearQual_simul-198,2023-07-18,1397.73,1999.42,72.72,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex26_02_nearQual_simul-213,2023-08-02,1450.52,1923.78,80.37,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex26_02_nearQual_simul-229,2023-08-18,1433.33,2240.35,73.73,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex26_02_nearQual_simul-244,2023-09-02,1460.36,2174.89,71.02,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex26_02_nearQual_simul-259,2023-09-17,1503.72,2568.44,67.23,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex26_02_nearQual_simul-274,2023-10-02,1503.3,2273.75,73.19,60.0,simulation-274,simulation
289,,0.88,0.02,0.1,,Ex26_02_nearQual_simul-289,2023-10-17,1499.81,2363.09,73.9,60.0,simulation-289,simulation
305,,0.27,0.02,0.71,,Ex26_02_nearQual_simul-305,2023-11-02,1469.81,2362.75,76.39,60.0,simulation-305,simulation
320,,0.02,0.02,0.96,,Ex26_02_nearQual_simul-320,2023-11-17,1433.59,1937.18,76.83,60.0,simulation-320,simulation
335,,,0.02,0.98,,Ex26_02_nearQual_simul-335,2023-12-02,1451.6,2047.54,74.31,60.0,simulation-335,simulation
350,,,0.02,0.98,,Ex26_02_nearQual_simul-350,2023-12-17,1484.35,2290.49,71.02,60.0,simulation-350,simulation
366,,,0.02,0.98,,Ex26_02_nearQual_simul-366,2024-01-02,1473.78,2103.29,72.34,60.0,simulation-366,simulation
