timepoint,B.1.1.529,others,sample_name,tool_name
1,0.98,0.02,quaid_vaec47270-1,quaid_vaec47270
31,0.98,0.02,quaid_vaec47270-31,quaid_vaec47270
107,0.77,0.23,quaid_vaec47270-107,quaid_vaec47270
168,0.98,0.02,quaid_vaec47270-168,quaid_vaec47270
198,0.44,0.56,quaid_vaec47270-198,quaid_vaec47270
